,CanonicalFusionName,Gene1,Gene2,ProfileID,ModelID,TotalReadsSupportingFusion,TotalFusionCoverage,FFPM,SplitReads1,SplitReads2,DiscordantMates,Strand1,Strand2,ReadingFrame
22950,SSRP1--TMX2-CTNND1,SSRP1 (ENSG00000149136.9),TMX2-CTNND1 (ENSG00000288534.1),PR-HCodtv,ACH-000455,35,112,0.5273978750898517,5,9,21,-/-,+/-,.
22951,TENM1--TENM1,TENM1 (.),TENM1 (ENSG00000009694.13),PR-HCodtv,ACH-000455,47,67,0.7082200036920865,13,11,23,./-,-/-,.
22952,UPP1--UPP1,UPP1 (ENSG00000183696.14),UPP1 (ENSG00000183696.14),PR-HCodtv,ACH-000455,4,220,0.060274042867411615,1,2,1,+/+,+/+,.
22953,WASH5P--WASH6P,WASH5P (ENSG00000282458.1),WASH6P (ENSG00000182484.15),PR-HCodtv,ACH-000455,19,253,0.2863017036202052,0,1,18,-/-,+/+,.
22954,WDR90--WDR90,WDR90 (ENSG00000161996.19),WDR90 (ENSG00000161996.19),PR-HCodtv,ACH-000455,5,339,0.07534255358426452,1,1,3,+/.,+/.,.
22955,AARS1--VAC14,AARS1 (ENSG00000090861.17),VAC14 (ENSG00000103043.15),PR-X3HNsH,ACH-000456,3,1947,0.04035335116018844,0,1,2,-/-,-/-,in-frame
22956,AARS1--VAC14,AARS1 (ENSG00000090861.17),VAC14 (ENSG00000103043.15),PR-X3HNsH,ACH-000456,101,4329,1.3585628223930108,28,45,28,-/-,-/-,out-of-frame
22957,AARS1--VAC14-AS1,AARS1 (ENSG00000090861.17),VAC14-AS1 (ENSG00000214353.8),PR-X3HNsH,ACH-000456,57,2030,0.7667136720435803,15,24,18,-/-,+/-,out-of-frame
22958,AC005301.10--RP3-410C9.3,RP3-410C9.3 (ENSG00000287211.1),AC005301.10 (ENSG00000288024.1),PR-X3HNsH,ACH-000456,3,1331,0.04035335116018844,2,1,0,+/+,+/+,.
22959,AC010967.2--AC010967.2,AC010967.2 (.),AC010967.2 (ENSG00000228033.6),PR-X3HNsH,ACH-000456,30,72,0.4035335116018844,4,26,0,./-,-/-,.
22960,AF277315.13--ATF4P2,ATF4P2 (.),AF277315.13 (ENSG00000226141.1),PR-X3HNsH,ACH-000456,292,1439,3.9277261795916747,2,290,0,./.,+/.,.
22961,CCDC181--GTF2IP3,CCDC181 (ENSG00000117477.12),GTF2IP3 (ENSG00000187721.8),PR-X3HNsH,ACH-000456,3,71,0.04035335116018844,0,3,0,-/-,-/-,.
22962,CCDC26--RP11-65D17.1,CCDC26 (ENSG00000229140.11),RP11-65D17.1 (.),PR-X3HNsH,ACH-000456,2,4,0.02690223410679229,1,1,0,-/-,./+,.
22963,COLEC10--TNFRSF11B,TNFRSF11B (ENSG00000164761.9),COLEC10 (ENSG00000184374.3),PR-X3HNsH,ACH-000456,3,1536,0.04035335116018844,2,0,1,-/+,+/+,.
22964,CSN1S2AP--CSN2,CSN1S2AP (.),CSN2 (ENSG00000135222.6),PR-X3HNsH,ACH-000456,74,342,0.9953826619513149,10,60,4,./-,-/-,.
22965,DELEC1--RP11-284G10.1,RP11-284G10.1 (ENSG00000228714.4),DELEC1 (ENSG00000173077.16),PR-X3HNsH,ACH-000456,5,195,0.06725558526698074,0,1,4,-/-,+/-,.
22966,GLIS3--GLIS3-AS1,GLIS3 (ENSG00000107249.24),GLIS3-AS1 (ENSG00000237009.2),PR-X3HNsH,ACH-000456,50,294,0.6725558526698073,25,15,10,-/-,+/+,out-of-frame
22967,ITGA2--MTREX,MTREX (ENSG00000039123.16),ITGA2 (ENSG00000164171.11),PR-X3HNsH,ACH-000456,47,276,0.6322025015096189,6,14,27,+/+,+/-,.
22968,KRT7--KRT8,KRT8 (ENSG00000170421.12),KRT7 (ENSG00000135480.16),PR-X3HNsH,ACH-000456,3,11455,0.04035335116018844,1,1,1,-/-,+/+,in-frame
22969,LINC01193--LINC02203,LINC01193 (ENSG00000258710.8),LINC02203 (.),PR-X3HNsH,ACH-000456,3,159,0.04035335116018844,0,1,2,+/+,./+,.
22970,LINC01193--OR4N3BP,LINC01193 (ENSG00000258710.8),OR4N3BP (.),PR-X3HNsH,ACH-000456,3,255,0.04035335116018844,1,2,0,+/+,./+,.
22971,LINC01435--RP11-163F15.1,RP11-163F15.1 (ENSG00000203434.2),LINC01435 (ENSG00000229981.8),PR-X3HNsH,ACH-000456,2,12,0.02690223410679229,1,0,1,-/-,-/-,.
22972,LINC01748--LINC01748,LINC01748 (ENSG00000226476.6),LINC01748 (ENSG00000226476.6),PR-X3HNsH,ACH-000456,18,97,0.24212010696113062,11,7,0,-/-,-/-,.
22973,LINC02203--OR4N3BP,LINC02203 (ENSG00000280709.2),OR4N3BP (.),PR-X3HNsH,ACH-000456,4,155,0.05380446821358458,1,0,3,+/+,./+,.
22974,LINC02444--LINC02882,LINC02882 (ENSG00000251138.7),LINC02444 (.),PR-X3HNsH,ACH-000456,7,156,0.09415781937377302,1,1,5,-/-,./-,.
22975,MYCT1--SYNE1,SYNE1 (.),MYCT1 (ENSG00000120279.6),PR-X3HNsH,ACH-000456,44,901,0.5918491503494304,19,8,17,./+,+/+,.
22976,NBEA--RP11-467L19.16,NBEA (ENSG00000172915.19),RP11-467L19.16 (.),PR-X3HNsH,ACH-000456,40,1059,0.5380446821358459,0,40,0,+/+,./-,out-of-frame
22977,NBEAP1--RP11-566K19.11,NBEAP1 (ENSG00000258590.5),RP11-566K19.11 (ENSG00000274835.1),PR-X3HNsH,ACH-000456,3,1499,0.04035335116018844,3,0,0,-/-,+/+,.
22978,RP11-1277N13.1--bP-21264C1.2,bP-21264C1.2 (ENSG00000278932.4),RP11-1277N13.1 (ENSG00000286406.1),PR-X3HNsH,ACH-000456,7,363,0.09415781937377302,1,0,6,+/+,+/-,.
22979,RP11-307P5.1--SASH1,RP11-307P5.1 (ENSG00000227681.5),SASH1 (ENSG00000111961.18),PR-X3HNsH,ACH-000456,60,1545,0.8070670232037688,24,21,15,+/+,+/+,.
22980,RP11-350E12.7--XXyac-YM21GA2.7,XXyac-YM21GA2.7 (ENSG00000214888.3),RP11-350E12.7 (.),PR-X3HNsH,ACH-000456,5,233,0.06725558526698074,2,1,2,-/.,./.,.
22981,RP11-350E12.7--ZNF598,ZNF598 (ENSG00000167962.14),RP11-350E12.7 (.),PR-X3HNsH,ACH-000456,10,1054,0.13451117053396147,0,1,9,-/-,./+,out-of-frame
22982,RP11-430L3.2--RP11-46P12.1,RP11-430L3.2 (ENSG00000287227.1),RP11-46P12.1 (.),PR-X3HNsH,ACH-000456,21,310,0.2824734581213191,3,7,11,-/-,./-,.
22983,RP11-848P1.9--VPS51,RP11-848P1.9 (ENSG00000266865.6),VPS51 (ENSG00000149823.9),PR-X3HNsH,ACH-000456,3,20372,0.04035335116018844,1,1,1,+/+,+/+,.
22984,RP5-1015P16.1--TPT1P13,RP5-1015P16.1 (ENSG00000286163.1),TPT1P13 (ENSG00000213498.3),PR-X3HNsH,ACH-000456,4,50,0.05380446821358458,0,2,2,+/+,-/+,.
22985,RPL19P4--TUBA3E,RPL19P4 (.),TUBA3E (ENSG00000152086.9),PR-X3HNsH,ACH-000456,23,202,0.30937569222811134,6,8,9,./-,-/-,.
22986,SEC14L1--SEPTIN9,SEC14L1 (.),SEPTIN9 (ENSG00000184640.20),PR-X3HNsH,ACH-000456,18,1270,0.24212010696113062,3,4,11,./+,+/+,.
22987,SLC25A5--SLC25A6,SLC25A6 (ENSG00000169100.14),SLC25A5 (ENSG00000005022.6),PR-X3HNsH,ACH-000456,2,16263,0.02690223410679229,1,0,1,-/-,+/+,in-frame
22988,SYNE1--SYNE1,SYNE1 (.),SYNE1 (ENSG00000131018.25),PR-X3HNsH,ACH-000456,31,133,0.4169846286552805,10,18,3,./-,-/-,.
22989,TENM1--TENM1,TENM1 (.),TENM1 (ENSG00000009694.13),PR-X3HNsH,ACH-000456,18,39,0.24212010696113062,8,4,6,./-,-/-,.
22990,ACIN1--ACIN1,ACIN1 (ENSG00000100813.15),ACIN1 (ENSG00000100813.15),PR-gLL98a,ACH-000457,108,908,1.3015495887862536,32,76,0,-/-,-/-,in-frame
22991,ADAP1--SMKR1,SMKR1 (ENSG00000240204.3),ADAP1 (ENSG00000105963.15),PR-gLL98a,ACH-000457,4,320,0.0482055403254168,0,4,0,+/+,-/-,out-of-frame
22992,ALG1L--ROPN1B,ALG1L (ENSG00000189366.10),ROPN1B (ENSG00000114547.10),PR-gLL98a,ACH-000457,6,24,0.07230831048812521,0,5,1,-/-,+/+,.
22993,ANXA4--NUMB,ANXA4 (ENSG00000196975.16),NUMB (ENSG00000133961.21),PR-gLL98a,ACH-000457,103,39048,1.2412926633794827,17,60,26,+/+,-/-,in-frame
22994,ANXA4--NUMB,ANXA4 (ENSG00000196975.16),NUMB (ENSG00000133961.21),PR-gLL98a,ACH-000457,256,19439,3.0851545808266754,113,83,60,+/+,-/-,out-of-frame
22995,BOLA2B--SMG1P5,BOLA2B (ENSG00000169627.9),SMG1P5 (ENSG00000183604.14),PR-gLL98a,ACH-000457,4,654,0.0482055403254168,0,1,3,-/-,-/-,out-of-frame
22996,COX19--SMKR1,SMKR1 (ENSG00000240204.3),COX19 (ENSG00000240230.6),PR-gLL98a,ACH-000457,4,320,0.0482055403254168,0,4,0,+/+,-/-,out-of-frame
22997,CXCL16--MINK1,MINK1 (ENSG00000141503.17),CXCL16 (ENSG00000161921.17),PR-gLL98a,ACH-000457,5,868,0.060256925406771,3,1,1,+/+,-/+,out-of-frame
22998,DEDD2--GSK3A,DEDD2 (ENSG00000160570.14),GSK3A (ENSG00000105723.13),PR-gLL98a,ACH-000457,6,14,0.07230831048812521,2,2,2,-/.,-/.,.
22999,DNAJC7--DNAJC7,DNAJC7 (ENSG00000168259.17),DNAJC7 (ENSG00000168259.17),PR-gLL98a,ACH-000457,3,46,0.036154155244062604,2,1,0,-/-,-/-,.
23000,EEF1A1--EEF1A2,EEF1A2 (ENSG00000101210.13),EEF1A1 (ENSG00000156508.19),PR-gLL98a,ACH-000457,2,71714,0.0241027701627084,1,0,1,-/-,-/-,in-frame
23001,FRG1DP--MLLT10P1,FRG1DP (ENSG00000282870.1),MLLT10P1 (.),PR-gLL98a,ACH-000457,10,301,0.120513850813542,0,10,0,+/+,./+,.
23002,IGIP--NRG2,NRG2 (ENSG00000158458.21),IGIP (.),PR-gLL98a,ACH-000457,6,59,0.07230831048812521,4,2,0,-/-,./-,out-of-frame
23003,MSH5--PRRC2A,MSH5 (ENSG00000204410.16),PRRC2A (ENSG00000204469.13),PR-gLL98a,ACH-000457,25,1921,0.301284627033855,8,11,6,+/+,+/+,out-of-frame
23004,MSH5-SAPCD1--PRRC2A,MSH5-SAPCD1 (ENSG00000255152.8),PRRC2A (ENSG00000204469.13),PR-gLL98a,ACH-000457,22,1921,0.26513047178979243,7,11,4,+/+,+/+,out-of-frame
23005,NUP42--NUP42,NUP42 (ENSG00000136243.17),NUP42 (ENSG00000136243.17),PR-gLL98a,ACH-000457,6,137,0.07230831048812521,0,2,4,+/+,+/+,.
23006,OR4F6--WASHC1,OR4F6 (.),WASHC1 (ENSG00000181404.17),PR-gLL98a,ACH-000457,6,306,0.07230831048812521,3,3,0,./+,-/-,.
23007,RP4-669L17.4--RPL23AP53,RPL23AP53 (ENSG00000223508.5),RP4-669L17.4 (ENSG00000237094.12),PR-gLL98a,ACH-000457,10,301,0.120513850813542,2,8,0,-/-,-/-,.
23008,AC008992.1--ZFP28-DT,ZFP28-DT (ENSG00000267421.6),AC008992.1 (.),PR-dIXDm8,ACH-000458,3,32,0.034032922019378825,1,0,2,-/-,./-,.
23009,AC012314.8--RP11-476K15.1,RP11-476K15.1 (ENSG00000266602.2),AC012314.8 (ENSG00000237017.1),PR-dIXDm8,ACH-000458,2,785,0.02268861467958588,0,1,1,+/.,-/.,.
23010,ADAP1--C7orf50,ADAP1 (ENSG00000105963.15),C7orf50 (ENSG00000146540.15),PR-dIXDm8,ACH-000458,91,2152,1.0323319679211576,8,79,4,-/-,-/-,out-of-frame
23011,ADK--ADK,ADK (ENSG00000156110.15),ADK (ENSG00000156110.15),PR-dIXDm8,ACH-000458,341,3740,3.868408802869393,207,134,0,+/+,+/+,in-frame
23012,AKR1B15--KDM7A,KDM7A (ENSG00000006459.11),AKR1B15 (.),PR-dIXDm8,ACH-000458,3,283,0.034032922019378825,0,1,2,-/-,./-,out-of-frame
23013,ARF4-AS1--SLMAP,SLMAP (ENSG00000163681.16),ARF4-AS1 (ENSG00000272146.6),PR-dIXDm8,ACH-000458,2,188,0.02268861467958588,2,0,0,+/+,+/+,out-of-frame
23014,ARHGAP35--ZC3H4,ARHGAP35 (ENSG00000160007.19),ZC3H4 (ENSG00000130749.10),PR-dIXDm8,ACH-000458,50,61,0.567215366989647,4,7,39,+/+,-/+,.
23015,ARL13A--XKRX,ARL13A (ENSG00000174225.15),XKRX (ENSG00000182489.9),PR-dIXDm8,ACH-000458,5,120,0.0567215366989647,1,0,4,+/-,-/-,.
23016,BOLA2B--SMG1P5,BOLA2B (ENSG00000169627.9),SMG1P5 (ENSG00000183604.14),PR-dIXDm8,ACH-000458,9,607,0.10209876605813646,0,3,6,-/-,-/-,out-of-frame
23017,BPGM--KDM7A,KDM7A (ENSG00000006459.11),BPGM (ENSG00000172331.12),PR-dIXDm8,ACH-000458,93,354,1.0550205826007435,26,30,37,-/-,+/-,out-of-frame
23018,CCDC146--PMS2P10,PMS2P10 (ENSG00000276840.1),CCDC146 (ENSG00000135205.15),PR-dIXDm8,ACH-000458,3,311,0.034032922019378825,1,2,0,-/-,+/+,.
23019,CDRT15P6--RP11-452D2.2,CDRT15P6 (.),RP11-452D2.2 (ENSG00000234042.1),PR-dIXDm8,ACH-000458,3,407,0.034032922019378825,0,2,1,./.,+/.,.
23020,CREG1--RCSD1,CREG1 (.),RCSD1 (ENSG00000198771.11),PR-dIXDm8,ACH-000458,11,53,0.12478738073772234,6,3,2,./+,+/+,.
23021,CTSC--CTSC,CTSC (.),CTSC (ENSG00000109861.17),PR-dIXDm8,ACH-000458,94,287,1.0663648899405365,33,43,18,./-,-/-,.
23022,DENND6A-AS1--SLMAP,SLMAP (ENSG00000163681.16),DENND6A-AS1 (ENSG00000239801.1),PR-dIXDm8,ACH-000458,24,505,0.2722633761550306,7,6,11,+/+,+/+,out-of-frame
23023,DHX38--PHLPP2,DHX38 (ENSG00000140829.12),PHLPP2 (ENSG00000040199.18),PR-dIXDm8,ACH-000458,81,854,0.9188888945232282,12,42,27,+/+,-/+,.
23024,DMRTA1--RP11-408N14.1,RP11-408N14.1 (.),DMRTA1 (ENSG00000176399.4),PR-dIXDm8,ACH-000458,6,332,0.06806584403875765,1,0,5,./+,+/+,.
23025,DPRX--ZNF784,ZNF784 (ENSG00000179922.6),DPRX (.),PR-dIXDm8,ACH-000458,7,89,0.07941015137855059,3,2,2,-/-,./+,.
23026,EPC2--MBD5,EPC2 (ENSG00000135999.12),MBD5 (ENSG00000204406.14),PR-dIXDm8,ACH-000458,8,194,0.09075445871834352,3,3,2,+/+,+/+,in-frame
23027,EXT1--SAMD12,EXT1 (ENSG00000182197.13),SAMD12 (ENSG00000177570.15),PR-dIXDm8,ACH-000458,19,2079,0.21554183945606586,6,9,4,-/-,-/-,out-of-frame
23028,F2RL1--OVOL2,OVOL2 (ENSG00000125850.11),F2RL1 (ENSG00000164251.5),PR-dIXDm8,ACH-000458,3,717,0.034032922019378825,0,3,0,-/-,+/+,.
23029,FAM230G--TXNRD2,TXNRD2 (ENSG00000184470.21),FAM230G (ENSG00000188280.11),PR-dIXDm8,ACH-000458,21,592,0.23823045413565175,3,16,2,-/-,+/+,out-of-frame
23030,FHL2--TGFBRAP1,TGFBRAP1 (ENSG00000135966.13),FHL2 (.),PR-dIXDm8,ACH-000458,13,102,0.14747599541730824,0,13,0,-/-,./-,.
23031,FIP1L1--FIP1L1,FIP1L1 (ENSG00000145216.16),FIP1L1 (ENSG00000145216.16),PR-dIXDm8,ACH-000458,11,1420,0.12478738073772234,4,4,3,+/+,+/-,out-of-frame
23032,GPATCH1--ZIM2-AS1,ZIM2-AS1 (ENSG00000269793.7),GPATCH1 (ENSG00000076650.7),PR-dIXDm8,ACH-000458,280,1517,3.1764060551420235,135,67,78,+/+,+/+,.
23033,GPATCH1--ZNF71,ZNF71 (ENSG00000197951.10),GPATCH1 (ENSG00000076650.7),PR-dIXDm8,ACH-000458,4,838,0.04537722935917176,1,0,3,+/+,+/+,.
23034,GPATCH1--ZNF71,ZNF71 (ENSG00000197951.10),GPATCH1 (ENSG00000076650.7),PR-dIXDm8,ACH-000458,283,679,3.2104389771614024,140,67,76,+/+,+/+,in-frame
23035,JPT1--VMP1,VMP1 (ENSG00000062716.13),JPT1 (ENSG00000189159.16),PR-dIXDm8,ACH-000458,53,561,0.6012482890090258,2,51,0,+/+,-/+,.
23036,KRT86--PRPH,PRPH (ENSG00000135406.14),KRT86 (ENSG00000170442.12),PR-dIXDm8,ACH-000458,3,39,0.034032922019378825,0,3,0,+/+,+/+,in-frame
23037,LAMC1--LAMC2,LAMC2 (ENSG00000058085.15),LAMC1 (ENSG00000135862.6),PR-dIXDm8,ACH-000458,3,5407,0.034032922019378825,1,1,1,+/+,+/+,out-of-frame
23038,LINC01239--RP11-408N14.1,RP11-408N14.1 (.),LINC01239 (ENSG00000234840.2),PR-dIXDm8,ACH-000458,4,352,0.04537722935917176,1,0,3,./+,+/+,.
23039,MICAL3--PPM1F-AS1,MICAL3 (ENSG00000243156.9),PPM1F-AS1 (ENSG00000224086.6),PR-dIXDm8,ACH-000458,16,170,0.18150891743668704,0,1,15,-/-,+/-,.
23040,MICAL3--TOP3B,MICAL3 (ENSG00000243156.9),TOP3B (ENSG00000100038.20),PR-dIXDm8,ACH-000458,109,1509,1.2365295000374306,30,58,21,-/-,-/-,.
23041,MRPS35--PPFIBP1,PPFIBP1 (ENSG00000110841.14),MRPS35 (ENSG00000061794.13),PR-dIXDm8,ACH-000458,120,2437,1.3613168807751528,6,55,59,+/+,+/+,in-frame
23042,NLGN4X--PUDP,PUDP (ENSG00000130021.15),NLGN4X (.),PR-dIXDm8,ACH-000458,4,278,0.04537722935917176,1,2,1,-/-,./+,out-of-frame
23043,NTN4--RP11-536G4.2,NTN4 (ENSG00000074527.13),RP11-536G4.2 (ENSG00000258343.2),PR-dIXDm8,ACH-000458,3,535,0.034032922019378825,2,1,0,-/-,-/-,out-of-frame
23044,PAPPA2--RP11-195C7.1,RP11-195C7.1 (ENSG00000236021.2),PAPPA2 (ENSG00000116183.11),PR-dIXDm8,ACH-000458,41,520,0.4651166009315106,4,10,27,+/+,+/+,.
23045,PAPPA2--RP11-451B8.1,RP11-451B8.1 (ENSG00000239572.3),PAPPA2 (ENSG00000116183.11),PR-dIXDm8,ACH-000458,3,117,0.034032922019378825,0,3,0,-/-,+/+,.
23046,PHLPP2--TXNL4B,PHLPP2 (ENSG00000040199.18),TXNL4B (ENSG00000140830.9),PR-dIXDm8,ACH-000458,28,843,0.31764060551420237,10,13,5,-/-,-/-,in-frame
23047,PHLPP2--TXNL4B,PHLPP2 (ENSG00000040199.18),TXNL4B (ENSG00000140830.9),PR-dIXDm8,ACH-000458,7,868,0.07941015137855059,2,5,0,-/-,-/-,out-of-frame
23048,PPP4R1--TXNDC2,PPP4R1 (ENSG00000154845.16),TXNDC2 (ENSG00000168454.12),PR-dIXDm8,ACH-000458,4,841,0.04537722935917176,3,1,0,-/-,+/-,out-of-frame
23049,PRKCZ--SKI,SKI (ENSG00000157933.10),PRKCZ (ENSG00000067606.17),PR-dIXDm8,ACH-000458,6,750,0.06806584403875765,1,0,5,+/+,+/+,in-frame
23050,PRKCZ--SKI,SKI (ENSG00000157933.10),PRKCZ (ENSG00000067606.17),PR-dIXDm8,ACH-000458,17,734,0.19285322477647998,4,4,9,+/+,+/+,out-of-frame
23051,PRPF31--RP11-476K15.1,PRPF31 (ENSG00000105618.14),RP11-476K15.1 (ENSG00000266602.2),PR-dIXDm8,ACH-000458,25,518,0.2836076834948235,13,6,6,+/+,+/-,out-of-frame
23052,PSMC1P7--SPTSSB,SPTSSB (ENSG00000196542.8),PSMC1P7 (.),PR-dIXDm8,ACH-000458,12,1504,0.1361316880775153,1,1,10,-/-,./-,.
23053,RAB40B--RHBDF2,RHBDF2 (ENSG00000129667.13),RAB40B (ENSG00000141542.11),PR-dIXDm8,ACH-000458,40,728,0.4537722935917176,4,26,10,-/-,-/-,.
23054,RAPGEF2--RP11-138A23.1,RAPGEF2 (ENSG00000109756.9),RP11-138A23.1 (.),PR-dIXDm8,ACH-000458,30,240,0.3403292201937882,10,15,5,+/+,./+,stop-codon
23055,REX1BD--TMEM59L,REX1BD (ENSG00000006015.18),TMEM59L (ENSG00000105696.9),PR-dIXDm8,ACH-000458,16,336,0.18150891743668704,0,14,2,+/+,+/+,in-frame
23056,REX1BD--TMEM59L,REX1BD (ENSG00000006015.18),TMEM59L (ENSG00000105696.9),PR-dIXDm8,ACH-000458,13,291,0.14747599541730824,3,3,7,+/+,+/+,out-of-frame
23057,RP11-274G22.1--STS,STS (ENSG00000101846.8),RP11-274G22.1 (ENSG00000283380.1),PR-dIXDm8,ACH-000458,4,58,0.04537722935917176,3,1,0,+/+,-/+,out-of-frame
23058,RP11-416O18.3--SATB1-AS1,SATB1-AS1 (ENSG00000228956.9),RP11-416O18.3 (.),PR-dIXDm8,ACH-000458,2,64,0.02268861467958588,0,2,0,+/+,./-,.
23059,TBC1D32--WNK1,TBC1D32 (ENSG00000146350.14),WNK1 (ENSG00000060237.19),PR-dIXDm8,ACH-000458,9,660,0.10209876605813646,4,4,1,-/-,+/+,.
23060,TFAM--TFAM,TFAM (ENSG00000108064.11),TFAM (.),PR-dIXDm8,ACH-000458,3,181,0.034032922019378825,1,0,2,+/.,./.,.
23061,ZNF383--ZNF507,ZNF507 (ENSG00000168813.17),ZNF383 (ENSG00000188283.12),PR-dIXDm8,ACH-000458,37,272,0.4197393715723388,12,9,16,+/+,+/+,out-of-frame
23062,ACIN1--ACIN1,ACIN1 (ENSG00000100813.15),ACIN1 (ENSG00000100813.15),PR-DHDwYM,ACH-000459,26,375,0.39669697889312694,8,18,0,-/-,-/-,in-frame
23063,ACTR3B--RP11-545G3.1,RP11-545G3.1 (.),ACTR3B (ENSG00000133627.18),PR-DHDwYM,ACH-000459,2,61,0.030515152222548227,0,2,0,./-,+/+,.
23064,AKAP8--AKAP8L,AKAP8 (ENSG00000105127.10),AKAP8L (ENSG00000011243.19),PR-DHDwYM,ACH-000459,3,628,0.045772728333822336,1,1,1,-/-,-/-,in-frame
23065,ANKRD46--SNX31,ANKRD46 (ENSG00000186106.11),SNX31 (ENSG00000174226.9),PR-DHDwYM,ACH-000459,20,265,0.30515152222548225,9,2,9,-/-,-/-,out-of-frame
23066,ATG7--VGLL4,VGLL4 (ENSG00000144560.15),ATG7 (ENSG00000197548.12),PR-DHDwYM,ACH-000459,5,85,0.07628788055637056,1,1,3,-/-,+/-,.
23067,BMS1P23--TMEM39B,TMEM39B (ENSG00000121775.18),BMS1P23 (.),PR-DHDwYM,ACH-000459,2,123,0.030515152222548227,0,2,0,+/+,./-,out-of-frame
23068,CFAP92--HIBCH,HIBCH (ENSG00000198130.16),CFAP92 (ENSG00000114656.12),PR-DHDwYM,ACH-000459,8,19,0.1220606088901929,2,1,5,-/.,-/.,.
23069,DMD--TMEM39B,TMEM39B (ENSG00000121775.18),DMD (ENSG00000198947.18),PR-DHDwYM,ACH-000459,2,106,0.030515152222548227,1,1,0,+/+,-/+,out-of-frame
23070,DPY19L1P2--ZNRF2P2,ZNRF2P2 (ENSG00000225264.3),DPY19L1P2 (ENSG00000231952.3),PR-DHDwYM,ACH-000459,4,103,0.06103030444509645,0,4,0,-/-,+/+,.
23071,FAM13A--PPM1K,PPM1K (ENSG00000163644.15),FAM13A (ENSG00000138640.15),PR-DHDwYM,ACH-000459,4,113,0.06103030444509645,1,1,2,-/-,-/-,.
23072,FAM13A-AS1--PPM1K,FAM13A-AS1 (ENSG00000248019.3),PPM1K (ENSG00000163644.15),PR-DHDwYM,ACH-000459,3,113,0.045772728333822336,1,1,1,+/+,-/+,.
23073,HRH1--VGLL4,VGLL4 (ENSG00000144560.15),HRH1 (ENSG00000196639.7),PR-DHDwYM,ACH-000459,3,88,0.045772728333822336,1,2,0,-/-,+/-,.
23074,MTAP--RP11-408N14.1,MTAP (ENSG00000099810.21),RP11-408N14.1 (ENSG00000236921.1),PR-DHDwYM,ACH-000459,45,221,0.6865909250073351,19,18,8,+/+,-/+,out-of-frame
23075,RP11-622I12.1--VGLL4,VGLL4 (ENSG00000144560.15),RP11-622I12.1 (ENSG00000285906.2),PR-DHDwYM,ACH-000459,7,116,0.1068030327789188,2,1,4,-/-,-/-,.
23076,TFAM--TFAM,TFAM (ENSG00000108064.11),TFAM (.),PR-DHDwYM,ACH-000459,3,88,0.045772728333822336,2,0,1,+/.,./.,.
23077,AC112229.1--LINC01123,LINC01123 (ENSG00000204588.5),AC112229.1 (.),PR-mEX7rp,ACH-000460,3,608,0.03401169469447606,2,1,0,+/+,./-,.
23078,ACIN1--ACIN1,ACIN1 (ENSG00000100813.15),ACIN1 (ENSG00000100813.15),PR-mEX7rp,ACH-000460,70,963,0.7936062095377748,18,52,0,-/-,-/-,in-frame
23079,ADAM18--ST3GAL1,ST3GAL1 (ENSG00000008513.16),ADAM18 (ENSG00000168619.16),PR-mEX7rp,ACH-000460,4,398,0.04534892625930142,1,1,2,-/-,+/+,.
23080,ADAM2--ST3GAL1,ST3GAL1 (ENSG00000008513.16),ADAM2 (ENSG00000104755.15),PR-mEX7rp,ACH-000460,6,399,0.06802338938895212,2,1,3,-/-,-/+,.
23081,ALDH1A1--SETX,SETX (ENSG00000107290.14),ALDH1A1 (.),PR-mEX7rp,ACH-000460,3,146,0.03401169469447606,2,0,1,-/-,./-,out-of-frame
23082,ANOS1--SKIL,SKIL (ENSG00000136603.14),ANOS1 (ENSG00000011201.12),PR-mEX7rp,ACH-000460,3,581,0.03401169469447606,2,0,1,+/+,-/-,out-of-frame
23083,ANTXR1--CKAP2L,CKAP2L (ENSG00000169607.13),ANTXR1 (ENSG00000169604.21),PR-mEX7rp,ACH-000460,24,141,0.2720935575558085,5,11,8,-/-,+/+,.
23084,ANXA1--SETX,ANXA1 (ENSG00000135046.14),SETX (ENSG00000107290.14),PR-mEX7rp,ACH-000460,115,6722,1.3037816299549159,36,38,41,+/+,-/+,out-of-frame
23085,APTX--DCBLD2,DCBLD2 (ENSG00000057019.16),APTX (ENSG00000137074.20),PR-mEX7rp,ACH-000460,35,3583,0.3968031047688874,12,11,12,-/-,-/+,out-of-frame
23086,ARHGEF35--ARHGEF35,ARHGEF35 (ENSG00000213214.5),ARHGEF35 (ENSG00000213214.5),PR-mEX7rp,ACH-000460,27,539,0.30610525225028457,5,22,0,-/-,-/-,out-of-frame
23087,BMPR1A--OPN4,BMPR1A (ENSG00000107779.14),OPN4 (ENSG00000122375.12),PR-mEX7rp,ACH-000460,3,37,0.03401169469447606,1,2,0,+/+,+/+,.
23088,BMS1--PARG,PARG (ENSG00000227345.9),BMS1 (ENSG00000165733.8),PR-mEX7rp,ACH-000460,12,427,0.13604677877790425,6,2,4,-/-,+/+,in-frame
23089,CARS2--IRS2,IRS2 (ENSG00000185950.9),CARS2 (ENSG00000134905.17),PR-mEX7rp,ACH-000460,3,291,0.03401169469447606,1,1,1,-/-,-/-,in-frame
23090,CARS2--IRS2,IRS2 (ENSG00000185950.9),CARS2 (ENSG00000134905.17),PR-mEX7rp,ACH-000460,3,307,0.03401169469447606,0,2,1,-/-,-/-,out-of-frame
