seq_depth	seq_id	gene_fusion	Tool_Breakpoint	Distance_from_Simulated_Breakpoint	Algorithm	values_vector	Breakpoint_number
100GB	85%	ENSG00000291093:ENSG00000096746	FSB2	-2	FusionSeeker	-2	Breakpoint_2
100GB	85%	ENSG00000291093:ENSG00000096746	CTATLRB1	-1	CTAT-LR-Fusion	-1	Breakpoint_1
100GB	85%	ENSG00000291093:ENSG00000096746	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
100GB	85%	ENSG00000074219:ENSG00000236172	FSB1	-2545	FusionSeeker	-2545	Breakpoint_1
100GB	85%	ENSG00000074219:ENSG00000236172	FSB2	1071	FusionSeeker	1071	Breakpoint_2
100GB	85%	ENSG00000074219:ENSG00000236172	GB1	-2309	Genion	-2309	Breakpoint_1
100GB	85%	ENSG00000074219:ENSG00000236172	GB2	760	Genion	760	Breakpoint_2
100GB	85%	ENSG00000074219:ENSG00000236172	CTATLRB1	-2551	CTAT-LR-Fusion	-2551	Breakpoint_1
100GB	85%	ENSG00000074219:ENSG00000236172	CTATLRB2	1209	CTAT-LR-Fusion	1209	Breakpoint_2
100GB	85%	ENSG00000161513:ENSG00000172782	FSB1	-6509	FusionSeeker	-6509	Breakpoint_1
100GB	85%	ENSG00000161513:ENSG00000172782	FSB2	5337	FusionSeeker	5337	Breakpoint_2
100GB	85%	ENSG00000161513:ENSG00000172782	GB1	-6387	Genion	-6387	Breakpoint_1
100GB	85%	ENSG00000161513:ENSG00000172782	GB2	330	Genion	330	Breakpoint_2
100GB	85%	ENSG00000131037:ENSG00000125503	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000131037:ENSG00000125503	FSB2	642	FusionSeeker	642	Breakpoint_2
100GB	85%	ENSG00000131037:ENSG00000125503	CTATLRB1	4	CTAT-LR-Fusion	4	Breakpoint_1
100GB	85%	ENSG00000131037:ENSG00000125503	CTATLRB2	643	CTAT-LR-Fusion	643	Breakpoint_2
100GB	85%	ENSG00000229606:ENSG00000289577	FSB1	0	FusionSeeker	0	Breakpoint_1
100GB	85%	ENSG00000229606:ENSG00000289577	FSB2	2876	FusionSeeker	2876	Breakpoint_2
100GB	85%	ENSG00000229606:ENSG00000289577	GB1	-817	Genion	-817	Breakpoint_1
100GB	85%	ENSG00000229606:ENSG00000289577	GB2	3	Genion	3	Breakpoint_2
100GB	85%	ENSG00000166348:ENSG00000165868	FSB1	-30006	FusionSeeker	-30006	Breakpoint_1
100GB	85%	ENSG00000166348:ENSG00000165868	FSB2	173	FusionSeeker	173	Breakpoint_2
100GB	85%	ENSG00000117758:ENSG00000159176	FSB1	0	FusionSeeker	0	Breakpoint_1
100GB	85%	ENSG00000117758:ENSG00000159176	FSB2	8881	FusionSeeker	8881	Breakpoint_2
100GB	85%	ENSG00000117758:ENSG00000159176	LB1	-1	LongGF	-1	Breakpoint_1
100GB	85%	ENSG00000117758:ENSG00000159176	LB2	1252	LongGF	1252	Breakpoint_2
100GB	85%	ENSG00000117758:ENSG00000159176	GB1	-36850	Genion	-36850	Breakpoint_1
100GB	85%	ENSG00000117758:ENSG00000159176	GB2	400	Genion	400	Breakpoint_2
100GB	85%	ENSG00000117758:ENSG00000159176	JB1	0	JAFFAL	0	Breakpoint_1
100GB	85%	ENSG00000117758:ENSG00000159176	JB2	1254	JAFFAL	1254	Breakpoint_2
100GB	85%	ENSG00000225510:ENSG00000102471	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000225510:ENSG00000102471	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000225676:ENSG00000136861	FSB1	-142	FusionSeeker	-142	Breakpoint_1
100GB	85%	ENSG00000225676:ENSG00000136861	FSB2	5746	FusionSeeker	5746	Breakpoint_2
100GB	85%	ENSG00000225676:ENSG00000136861	JB1	-139	JAFFAL	-139	Breakpoint_1
100GB	85%	ENSG00000225676:ENSG00000136861	JB2	394	JAFFAL	394	Breakpoint_2
100GB	85%	ENSG00000180304:ENSG00000105856	FSB1	-12679	FusionSeeker	-12679	Breakpoint_1
100GB	85%	ENSG00000180304:ENSG00000105856	FSB2	-2	FusionSeeker	-2	Breakpoint_2
100GB	85%	ENSG00000148362:ENSG00000169583	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000148362:ENSG00000169583	FSB2	496	FusionSeeker	496	Breakpoint_2
100GB	85%	ENSG00000148362:ENSG00000169583	LB1	-2	LongGF	-2	Breakpoint_1
100GB	85%	ENSG00000148362:ENSG00000169583	LB2	228	LongGF	228	Breakpoint_2
100GB	85%	ENSG00000148362:ENSG00000169583	GB1	-1067	Genion	-1067	Breakpoint_1
100GB	85%	ENSG00000148362:ENSG00000169583	GB2	-3	Genion	-3	Breakpoint_2
100GB	85%	ENSG00000060339:ENSG00000228451	FSB1	-3	FusionSeeker	-3	Breakpoint_1
100GB	85%	ENSG00000060339:ENSG00000228451	FSB2	714	FusionSeeker	714	Breakpoint_2
100GB	85%	ENSG00000060339:ENSG00000228451	GB1	-21096	Genion	-21096	Breakpoint_1
100GB	85%	ENSG00000060339:ENSG00000228451	GB2	2	Genion	2	Breakpoint_2
100GB	85%	ENSG00000060339:ENSG00000228451	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
100GB	85%	ENSG00000060339:ENSG00000228451	CTATLRB2	734	CTAT-LR-Fusion	734	Breakpoint_2
100GB	85%	ENSG00000108094:ENSG00000085788	FSB1	-264	FusionSeeker	-264	Breakpoint_1
100GB	85%	ENSG00000108094:ENSG00000085788	FSB2	-2	FusionSeeker	-2	Breakpoint_2
100GB	85%	ENSG00000108094:ENSG00000085788	JB1	-261	JAFFAL	-261	Breakpoint_1
100GB	85%	ENSG00000108094:ENSG00000085788	JB2	0	JAFFAL	0	Breakpoint_2
100GB	85%	ENSG00000108094:ENSG00000085788	CTATLRB1	-5948	CTAT-LR-Fusion	-5948	Breakpoint_1
100GB	85%	ENSG00000108094:ENSG00000085788	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
100GB	85%	ENSG00000135241:ENSG00000225612	FSB1	-121	FusionSeeker	-121	Breakpoint_1
100GB	85%	ENSG00000135241:ENSG00000225612	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000135241:ENSG00000225612	GB1	-1	Genion	-1	Breakpoint_1
100GB	85%	ENSG00000135241:ENSG00000225612	GB2	81	Genion	81	Breakpoint_2
100GB	85%	ENSG00000135241:ENSG00000225612	JB1	-121	JAFFAL	-121	Breakpoint_1
100GB	85%	ENSG00000135241:ENSG00000225612	JB2	4	JAFFAL	4	Breakpoint_2
100GB	85%	ENSG00000135241:ENSG00000225612	CTATLRB1	-23660	CTAT-LR-Fusion	-23660	Breakpoint_1
100GB	85%	ENSG00000135241:ENSG00000225612	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
100GB	85%	ENSG00000185664:ENSG00000251584	FSB1	-4691	FusionSeeker	-4691	Breakpoint_1
100GB	85%	ENSG00000185664:ENSG00000251584	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000280426:ENSG00000076513	FSB1	-751	FusionSeeker	-751	Breakpoint_1
100GB	85%	ENSG00000280426:ENSG00000076513	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000280426:ENSG00000076513	CTATLRB1	-750	CTAT-LR-Fusion	-750	Breakpoint_1
100GB	85%	ENSG00000280426:ENSG00000076513	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
100GB	85%	ENSG00000103415:ENSG00000103160	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000103415:ENSG00000103160	FSB2	1245	FusionSeeker	1245	Breakpoint_2
100GB	85%	ENSG00000103415:ENSG00000103160	JB1	-1	JAFFAL	-1	Breakpoint_1
100GB	85%	ENSG00000103415:ENSG00000103160	JB2	1244	JAFFAL	1244	Breakpoint_2
100GB	85%	ENSG00000103415:ENSG00000103160	CTATLRB1	-1226	CTAT-LR-Fusion	-1226	Breakpoint_1
100GB	85%	ENSG00000103415:ENSG00000103160	CTATLRB2	1267	CTAT-LR-Fusion	1267	Breakpoint_2
100GB	85%	ENSG00000206384:ENSG00000196455	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000206384:ENSG00000196455	FSB2	28124	FusionSeeker	28124	Breakpoint_2
100GB	85%	ENSG00000206384:ENSG00000196455	JB1	-1	JAFFAL	-1	Breakpoint_1
100GB	85%	ENSG00000206384:ENSG00000196455	JB2	550	JAFFAL	550	Breakpoint_2
100GB	85%	ENSG00000206384:ENSG00000196455	FSB1	-3428	FusionSeeker	-3428	Breakpoint_1
100GB	85%	ENSG00000206384:ENSG00000196455	FSB2	26835	FusionSeeker	26835	Breakpoint_2
100GB	85%	ENSG00000206384:ENSG00000196455	FSB1	-2	FusionSeeker	-2	Breakpoint_1
100GB	85%	ENSG00000206384:ENSG00000196455	FSB2	5446	FusionSeeker	5446	Breakpoint_2
100GB	85%	ENSG00000206384:ENSG00000196455	FSB1	-3426	FusionSeeker	-3426	Breakpoint_1
100GB	85%	ENSG00000206384:ENSG00000196455	FSB2	555	FusionSeeker	555	Breakpoint_2
100GB	85%	ENSG00000206384:ENSG00000196455	FSB2	7487	FusionSeeker	7487	Breakpoint_2
100GB	85%	ENSG00000114638:ENSG00000121578	FSB1	0	FusionSeeker	0	Breakpoint_1
100GB	85%	ENSG00000114638:ENSG00000121578	FSB2	947	FusionSeeker	947	Breakpoint_2
100GB	85%	ENSG00000114638:ENSG00000121578	LB1	-3	LongGF	-3	Breakpoint_1
100GB	85%	ENSG00000114638:ENSG00000121578	LB2	945	LongGF	945	Breakpoint_2
100GB	85%	ENSG00000114638:ENSG00000121578	GB1	-16661	Genion	-16661	Breakpoint_1
100GB	85%	ENSG00000114638:ENSG00000121578	GB2	3	Genion	3	Breakpoint_2
100GB	85%	ENSG00000114638:ENSG00000121578	JB1	0	JAFFAL	0	Breakpoint_1
100GB	85%	ENSG00000114638:ENSG00000121578	JB2	946	JAFFAL	946	Breakpoint_2
100GB	85%	ENSG00000114638:ENSG00000121578	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
100GB	85%	ENSG00000114638:ENSG00000121578	CTATLRB2	948	CTAT-LR-Fusion	948	Breakpoint_2
100GB	85%	ENSG00000197872:ENSG00000150722	FSB1	-41960	FusionSeeker	-41960	Breakpoint_1
100GB	85%	ENSG00000197872:ENSG00000150722	FSB2	4	FusionSeeker	4	Breakpoint_2
100GB	85%	ENSG00000109971:ENSG00000095209	FSB1	-984	FusionSeeker	-984	Breakpoint_1
100GB	85%	ENSG00000109971:ENSG00000095209	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000109971:ENSG00000095209	FSB1	-4615	FusionSeeker	-4615	Breakpoint_1
100GB	85%	ENSG00000109971:ENSG00000095209	FSB2	-22209	FusionSeeker	-22209	Breakpoint_2
100GB	85%	ENSG00000167419:ENSG00000005381	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000167419:ENSG00000005381	FSB2	9789	FusionSeeker	9789	Breakpoint_2
100GB	85%	ENSG00000167419:ENSG00000005381	JB1	0	JAFFAL	0	Breakpoint_1
100GB	85%	ENSG00000167419:ENSG00000005381	JB2	1006	JAFFAL	1006	Breakpoint_2
100GB	85%	ENSG00000204256:ENSG00000184634	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000204256:ENSG00000184634	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000260830:ENSG00000100461	FSB1	0	FusionSeeker	0	Breakpoint_1
100GB	85%	ENSG00000260830:ENSG00000100461	FSB2	13945	FusionSeeker	13945	Breakpoint_2
100GB	85%	ENSG00000090565:ENSG00000167207	FSB1	3	FusionSeeker	3	Breakpoint_1
100GB	85%	ENSG00000090565:ENSG00000167207	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000090565:ENSG00000167207	GB1	3	Genion	3	Breakpoint_1
100GB	85%	ENSG00000090565:ENSG00000167207	GB2	6	Genion	6	Breakpoint_2
100GB	85%	ENSG00000167588:ENSG00000110887	FSB1	-232	FusionSeeker	-232	Breakpoint_1
100GB	85%	ENSG00000167588:ENSG00000110887	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000167588:ENSG00000110887	JB1	-231	JAFFAL	-231	Breakpoint_1
100GB	85%	ENSG00000167588:ENSG00000110887	JB2	-1	JAFFAL	-1	Breakpoint_2
100GB	85%	ENSG00000167588:ENSG00000110887	CTATLRB1	-231	CTAT-LR-Fusion	-231	Breakpoint_1
100GB	85%	ENSG00000167588:ENSG00000110887	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
100GB	85%	ENSG00000235162:ENSG00000286520	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000235162:ENSG00000286520	FSB2	1551	FusionSeeker	1551	Breakpoint_2
100GB	85%	ENSG00000235162:ENSG00000286520	GB1	-36558	Genion	-36558	Breakpoint_1
100GB	85%	ENSG00000235162:ENSG00000286520	GB2	92	Genion	92	Breakpoint_2
100GB	85%	ENSG00000235162:ENSG00000286520	JB1	0	JAFFAL	0	Breakpoint_1
100GB	85%	ENSG00000235162:ENSG00000286520	JB2	1343	JAFFAL	1343	Breakpoint_2
100GB	85%	ENSG00000235162:ENSG00000286520	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
100GB	85%	ENSG00000235162:ENSG00000286520	CTATLRB2	1344	CTAT-LR-Fusion	1344	Breakpoint_2
100GB	85%	ENSG00000234129:ENSG00000101966	FSB1	-240	FusionSeeker	-240	Breakpoint_1
100GB	85%	ENSG00000234129:ENSG00000101966	FSB2	25752	FusionSeeker	25752	Breakpoint_2
100GB	85%	ENSG00000234129:ENSG00000101966	FSB1	-237	FusionSeeker	-237	Breakpoint_1
100GB	85%	ENSG00000234129:ENSG00000101966	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000213983:ENSG00000126777	FSB1	-662	FusionSeeker	-662	Breakpoint_1
100GB	85%	ENSG00000213983:ENSG00000126777	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000213983:ENSG00000126777	JB1	-662	JAFFAL	-662	Breakpoint_1
100GB	85%	ENSG00000213983:ENSG00000126777	JB2	-1	JAFFAL	-1	Breakpoint_2
100GB	85%	ENSG00000213983:ENSG00000126777	CTATLRB1	-662	CTAT-LR-Fusion	-662	Breakpoint_1
100GB	85%	ENSG00000213983:ENSG00000126777	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
100GB	85%	ENSG00000264569:ENSG00000169733	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000264569:ENSG00000169733	FSB2	3438	FusionSeeker	3438	Breakpoint_2
100GB	85%	ENSG00000141449:ENSG00000166401	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000141449:ENSG00000166401	FSB2	8184	FusionSeeker	8184	Breakpoint_2
100GB	85%	ENSG00000141449:ENSG00000166401	GB1	-27365	Genion	-27365	Breakpoint_1
100GB	85%	ENSG00000141449:ENSG00000166401	GB2	8184	Genion	8184	Breakpoint_2
100GB	85%	ENSG00000288769:ENSG00000111907	FSB1	-63	FusionSeeker	-63	Breakpoint_1
100GB	85%	ENSG00000288769:ENSG00000111907	FSB2	1	FusionSeeker	1	Breakpoint_2
100GB	85%	ENSG00000288769:ENSG00000111907	CTATLRB1	1	CTAT-LR-Fusion	1	Breakpoint_1
100GB	85%	ENSG00000288769:ENSG00000111907	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
100GB	85%	ENSG00000269692:ENSG00000273994	FSB1	0	FusionSeeker	0	Breakpoint_1
100GB	85%	ENSG00000269692:ENSG00000273994	FSB2	283	FusionSeeker	283	Breakpoint_2
100GB	85%	ENSG00000269692:ENSG00000273994	GB1	0	Genion	0	Breakpoint_1
100GB	85%	ENSG00000269692:ENSG00000273994	GB2	5	Genion	5	Breakpoint_2
100GB	85%	ENSG00000125898:ENSG00000234948	FSB1	0	FusionSeeker	0	Breakpoint_1
100GB	85%	ENSG00000125898:ENSG00000234948	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000125898:ENSG00000234948	GB1	-3	Genion	-3	Breakpoint_1
100GB	85%	ENSG00000125898:ENSG00000234948	GB2	24628	Genion	24628	Breakpoint_2
100GB	85%	ENSG00000125898:ENSG00000234948	JB1	-5	JAFFAL	-5	Breakpoint_1
100GB	85%	ENSG00000125898:ENSG00000234948	JB2	6	JAFFAL	6	Breakpoint_2
100GB	85%	ENSG00000244754:ENSG00000233124	FSB1	-3051	FusionSeeker	-3051	Breakpoint_1
100GB	85%	ENSG00000244754:ENSG00000233124	FSB2	4145	FusionSeeker	4145	Breakpoint_2
100GB	85%	ENSG00000244754:ENSG00000233124	CTATLRB1	-3080	CTAT-LR-Fusion	-3080	Breakpoint_1
100GB	85%	ENSG00000244754:ENSG00000233124	CTATLRB2	4150	CTAT-LR-Fusion	4150	Breakpoint_2
100GB	85%	ENSG00000244754:ENSG00000233124	FSB1	-11899	FusionSeeker	-11899	Breakpoint_1
100GB	85%	ENSG00000244754:ENSG00000233124	FSB2	4101	FusionSeeker	4101	Breakpoint_2
100GB	85%	ENSG00000114302:ENSG00000114374	FSB1	-122	FusionSeeker	-122	Breakpoint_1
100GB	85%	ENSG00000114302:ENSG00000114374	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000114302:ENSG00000114374	JB1	-116	JAFFAL	-116	Breakpoint_1
100GB	85%	ENSG00000114302:ENSG00000114374	JB2	8	JAFFAL	8	Breakpoint_2
100GB	85%	ENSG00000114302:ENSG00000114374	FSB2	11200	FusionSeeker	11200	Breakpoint_2
100GB	85%	ENSG00000095303:ENSG00000233616	FSB1	-5	FusionSeeker	-5	Breakpoint_1
100GB	85%	ENSG00000095303:ENSG00000233616	FSB2	253	FusionSeeker	253	Breakpoint_2
100GB	85%	ENSG00000095303:ENSG00000233616	GB1	-3091	Genion	-3091	Breakpoint_1
100GB	85%	ENSG00000095303:ENSG00000233616	GB2	-1	Genion	-1	Breakpoint_2
100GB	85%	ENSG00000095303:ENSG00000233616	JB1	-9	JAFFAL	-9	Breakpoint_1
100GB	85%	ENSG00000095303:ENSG00000233616	JB2	258	JAFFAL	258	Breakpoint_2
100GB	85%	ENSG00000095303:ENSG00000233616	CTATLRB1	-4	CTAT-LR-Fusion	-4	Breakpoint_1
100GB	85%	ENSG00000095303:ENSG00000233616	CTATLRB2	262	CTAT-LR-Fusion	262	Breakpoint_2
100GB	85%	ENSG00000108312:ENSG00000260793	FSB1	-254	FusionSeeker	-254	Breakpoint_1
100GB	85%	ENSG00000108312:ENSG00000260793	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000108312:ENSG00000260793	CTATLRB1	-1897	CTAT-LR-Fusion	-1897	Breakpoint_1
100GB	85%	ENSG00000108312:ENSG00000260793	CTATLRB2	0	CTAT-LR-Fusion	0	Breakpoint_2
100GB	85%	ENSG00000143891:ENSG00000132300	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000143891:ENSG00000132300	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000143891:ENSG00000132300	FSB1	-11461	FusionSeeker	-11461	Breakpoint_1
100GB	85%	ENSG00000143891:ENSG00000132300	FSB2	24	FusionSeeker	24	Breakpoint_2
100GB	85%	ENSG00000223631:ENSG00000284659	FSB1	-2113	FusionSeeker	-2113	Breakpoint_1
100GB	85%	ENSG00000223631:ENSG00000284659	FSB2	105	FusionSeeker	105	Breakpoint_2
100GB	85%	ENSG00000223631:ENSG00000284659	GB1	-4222	Genion	-4222	Breakpoint_1
100GB	85%	ENSG00000223631:ENSG00000284659	GB2	1	Genion	1	Breakpoint_2
100GB	85%	ENSG00000148604:ENSG00000100811	FSB1	-9	FusionSeeker	-9	Breakpoint_1
100GB	85%	ENSG00000148604:ENSG00000100811	FSB2	2	FusionSeeker	2	Breakpoint_2
100GB	85%	ENSG00000148604:ENSG00000100811	JB1	-9	JAFFAL	-9	Breakpoint_1
100GB	85%	ENSG00000148604:ENSG00000100811	JB2	1	JAFFAL	1	Breakpoint_2
100GB	85%	ENSG00000148604:ENSG00000100811	CTATLRB1	-5	CTAT-LR-Fusion	-5	Breakpoint_1
100GB	85%	ENSG00000148604:ENSG00000100811	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
100GB	85%	ENSG00000105339:ENSG00000022567	FSB1	-3	FusionSeeker	-3	Breakpoint_1
100GB	85%	ENSG00000105339:ENSG00000022567	FSB2	5388	FusionSeeker	5388	Breakpoint_2
100GB	85%	ENSG00000105339:ENSG00000022567	JB1	-1	JAFFAL	-1	Breakpoint_1
100GB	85%	ENSG00000105339:ENSG00000022567	JB2	5387	JAFFAL	5387	Breakpoint_2
100GB	85%	ENSG00000105339:ENSG00000022567	CTATLRB1	-1	CTAT-LR-Fusion	-1	Breakpoint_1
100GB	85%	ENSG00000105339:ENSG00000022567	CTATLRB2	5389	CTAT-LR-Fusion	5389	Breakpoint_2
100GB	85%	ENSG00000122218:ENSG00000120438	FSB1	-3009	FusionSeeker	-3009	Breakpoint_1
100GB	85%	ENSG00000122218:ENSG00000120438	FSB2	1098	FusionSeeker	1098	Breakpoint_2
100GB	85%	ENSG00000122218:ENSG00000120438	FSB1	-29203	FusionSeeker	-29203	Breakpoint_1
100GB	85%	ENSG00000122218:ENSG00000120438	FSB2	1093	FusionSeeker	1093	Breakpoint_2
100GB	85%	ENSG00000122218:ENSG00000120438	FSB1	-36826	FusionSeeker	-36826	Breakpoint_1
100GB	85%	ENSG00000069329:ENSG00000253327	FSB1	-6271	FusionSeeker	-6271	Breakpoint_1
100GB	85%	ENSG00000069329:ENSG00000253327	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000069329:ENSG00000253327	CTATLRB1	-6271	CTAT-LR-Fusion	-6271	Breakpoint_1
100GB	85%	ENSG00000069329:ENSG00000253327	CTATLRB2	-13	CTAT-LR-Fusion	-13	Breakpoint_2
100GB	85%	ENSG00000069329:ENSG00000253327	CTATLRB1	-6269	CTAT-LR-Fusion	-6269	Breakpoint_1
100GB	85%	ENSG00000069329:ENSG00000253327	CTATLRB2	-16	CTAT-LR-Fusion	-16	Breakpoint_2
100GB	85%	ENSG00000228570:ENSG00000167258	FSB1	-4	FusionSeeker	-4	Breakpoint_1
100GB	85%	ENSG00000228570:ENSG00000167258	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000228570:ENSG00000167258	JB1	-6	JAFFAL	-6	Breakpoint_1
100GB	85%	ENSG00000228570:ENSG00000167258	JB2	0	JAFFAL	0	Breakpoint_2
100GB	85%	ENSG00000113569:ENSG00000145675	FSB1	-6424	FusionSeeker	-6424	Breakpoint_1
100GB	85%	ENSG00000113569:ENSG00000145675	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000108604:ENSG00000240280	FSB1	-594	FusionSeeker	-594	Breakpoint_1
100GB	85%	ENSG00000108604:ENSG00000240280	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000108604:ENSG00000240280	FSB1	-2068	FusionSeeker	-2068	Breakpoint_1
100GB	85%	ENSG00000108604:ENSG00000240280	FSB2	7493	FusionSeeker	7493	Breakpoint_2
100GB	85%	ENSG00000100075:ENSG00000100034	FSB1	-595	FusionSeeker	-595	Breakpoint_1
100GB	85%	ENSG00000100075:ENSG00000100034	FSB2	4042	FusionSeeker	4042	Breakpoint_2
100GB	85%	ENSG00000095981:ENSG00000164627	FSB1	-3353	FusionSeeker	-3353	Breakpoint_1
100GB	85%	ENSG00000095981:ENSG00000164627	FSB2	6556	FusionSeeker	6556	Breakpoint_2
100GB	85%	ENSG00000170954:ENSG00000183137	FSB1	-16565	FusionSeeker	-16565	Breakpoint_1
100GB	85%	ENSG00000170954:ENSG00000183137	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000235059:ENSG00000292366	FSB1	-6581	FusionSeeker	-6581	Breakpoint_1
100GB	85%	ENSG00000235059:ENSG00000292366	FSB2	1	FusionSeeker	1	Breakpoint_2
100GB	85%	ENSG00000283294:ENSG00000224367	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000283294:ENSG00000224367	FSB2	-1	FusionSeeker	-1	Breakpoint_2
100GB	85%	ENSG00000105889:ENSG00000075303	FSB1	-5366	FusionSeeker	-5366	Breakpoint_1
100GB	85%	ENSG00000105889:ENSG00000075303	FSB2	25180	FusionSeeker	25180	Breakpoint_2
100GB	85%	ENSG00000223634:ENSG00000235497	FSB1	-110	FusionSeeker	-110	Breakpoint_1
100GB	85%	ENSG00000223634:ENSG00000235497	FSB2	229	FusionSeeker	229	Breakpoint_2
100GB	85%	ENSG00000223634:ENSG00000235497	JB1	-107	JAFFAL	-107	Breakpoint_1
100GB	85%	ENSG00000223634:ENSG00000235497	JB2	227	JAFFAL	227	Breakpoint_2
100GB	85%	ENSG00000223634:ENSG00000235497	FSB1	-2849	FusionSeeker	-2849	Breakpoint_1
100GB	85%	ENSG00000237558:ENSG00000291031	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000237558:ENSG00000291031	FSB2	153	FusionSeeker	153	Breakpoint_2
100GB	85%	ENSG00000292327:ENSG00000292365	FSB1	-126	FusionSeeker	-126	Breakpoint_1
100GB	85%	ENSG00000292327:ENSG00000292365	FSB2	21	FusionSeeker	21	Breakpoint_2
100GB	85%	ENSG00000149657:ENSG00000101182	FSB1	-1	FusionSeeker	-1	Breakpoint_1
100GB	85%	ENSG00000149657:ENSG00000101182	FSB2	216	FusionSeeker	216	Breakpoint_2
100GB	85%	ENSG00000284763:ENSG00000230284	FSB1	-340	FusionSeeker	-340	Breakpoint_1
100GB	85%	ENSG00000284763:ENSG00000230284	FSB2	337	FusionSeeker	337	Breakpoint_2
100GB	85%	ENSG00000284763:ENSG00000230284	CTATLRB1	-339	CTAT-LR-Fusion	-339	Breakpoint_1
100GB	85%	ENSG00000284763:ENSG00000230284	CTATLRB2	338	CTAT-LR-Fusion	338	Breakpoint_2
100GB	85%	ENSG00000196433:ENSG00000086758	FSB1	-2	FusionSeeker	-2	Breakpoint_1
100GB	85%	ENSG00000196433:ENSG00000086758	FSB2	129	FusionSeeker	129	Breakpoint_2
100GB	85%	ENSG00000196433:ENSG00000086758	JB1	-1	JAFFAL	-1	Breakpoint_1
100GB	85%	ENSG00000196433:ENSG00000086758	JB2	128	JAFFAL	128	Breakpoint_2
100GB	85%	ENSG00000113494:ENSG00000198917	FSB1	-155	FusionSeeker	-155	Breakpoint_1
100GB	85%	ENSG00000113494:ENSG00000198917	FSB2	1093	FusionSeeker	1093	Breakpoint_2
100GB	90%	ENSG00000196935:ENSG00000283625	FSB1	3	FusionSeeker	3	Breakpoint_1
100GB	90%	ENSG00000196935:ENSG00000283625	FSB2	752	FusionSeeker	752	Breakpoint_2
100GB	90%	ENSG00000196935:ENSG00000283625	GB1	-15035	Genion	-15035	Breakpoint_1
100GB	90%	ENSG00000196935:ENSG00000283625	GB2	358	Genion	358	Breakpoint_2
100GB	90%	ENSG00000149273:ENSG00000262898	FSB1	-757	FusionSeeker	-757	Breakpoint_1
